http://180.191.16.9:8085,PH,Unknown
http://180.191.20.10:8081,PH,Unknown
http://58.69.117.149:8082,PH,Unknown
http://58.69.212.156:5050,PH,Unknown
http://222.127.171.128:8082,PH,Unknown
http://112.203.51.44:8082,PH,Unknown
http://124.106.223.162:8082,PH,Unknown
http://160.187.221.182:8080,PH,Unknown
http://161.49.219.212:8082,PH,Unknown
http://122.53.59.59:8080,PH,Unknown
http://202.36.28.74:8082,PH,Unknown
http://49.151.180.144:8082,PH,Unknown
http://124.83.97.230:8082,PH,Unknown
http://49.147.119.1:8082,PH,Unknown
http://120.28.152.190:8082,PH,San Juan
