socks5://195.91.129.101:1337,RU,Unknown
socks5://194.28.162.12:1080,RU,Unknown
socks5://46.146.216.44:1080,RU,Unknown
socks5://185.21.141.238:1080,RU,Unknown
socks5://185.106.105.10:1080,RU,Unknown
socks5://31.130.131.142:1080,RU,Unknown
socks5://147.45.159.213:48206,RU,Unknown
socks5://87.255.245.105:1080,RU,Unknown
socks5://217.73.117.62:1080,RU,Unknown
socks5://93.90.231.101:1080,RU,Unknown
http://194.67.91.153:443,RU,Unknown
http://79.174.12.190:443,RU,Unknown
http://95.66.244.250:443,RU,Unknown
http://176.226.200.167:443,RU,Unknown
http://147.45.147.21:8443,RU,Unknown
http://109.95.220.45:8080,RU,Unknown
http://91.200.163.190:8088,RU,Unknown
http://217.150.43.249:8080,RU,Unknown
http://176.226.200.167:80,RU,Unknown
http://185.8.20.138:8080,RU,Unknown
http://185.145.124.173:8080,RU,Unknown
http://83.239.34.82:8080,RU,Unknown
http://195.9.15.186:10080,RU,Unknown
http://158.160.215.167:8125,RU,Unknown
http://91.203.242.66:222,RU,Unknown
http://62.182.204.81:88,RU,Unknown
http://46.161.6.165:8080,RU,St Petersburg
socks4://37.220.84.251:12062,RU,
http://89.208.85.78:443,RU,
http://95.213.217.168:52004,RU,St Petersburg
socks4://31.128.41.253:28080,RU,St Petersburg
