socks5://154.197.69.137:1080,TH,Unknown
socks5://154.197.69.137:1081,TH,Unknown
socks4://61.7.147.227:4145,TH,Unknown
socks4://1.4.195.114:4145,TH,Unknown
socks4://125.25.82.207:5678,TH,Unknown
socks4://125.27.10.84:4153,TH,Unknown
http://183.88.214.44:8080,TH,Unknown
http://101.51.144.214:8080,TH,Unknown
http://171.7.112.126:8080,TH,Unknown
http://116.58.241.121:8080,TH,Unknown
http://134.236.19.82:8080,TH,Unknown
http://67.43.228.250:9423,TH,Unknown
http://184.82.167.6:8080,TH,Unknown
http://171.5.116.142:8080,TH,Unknown
